component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L23H20,attn,23,20,0.0010795879364013672,0.003817558207465444,0.615,0.0006639465808868408,200
L18H11,attn,18,11,0.001154947280883789,0.00412838974213332,0.565,0.0006525452136993407,200
L09H03,attn,9,3,0.0012397527694702148,0.006249166499802919,0.525,0.0006508702039718627,200
L43H19,attn,43,19,0.0011079645156860352,0.00456029129979948,0.585,0.0006481592416763306,200
L24H23,attn,24,23,0.001187896728515625,0.011080451049701241,0.54,0.0006414642333984375,200
L32H02,attn,32,2,0.0010201883316040038,0.006423672539973408,0.625,0.0006376177072525024,200
L39H24,attn,39,24,0.0010109376907348634,0.005046263838776467,0.63,0.0006368907451629639,200
L09H19,attn,9,19,0.0010836124420166016,0.004408131843441173,0.58,0.0006284952163696289,200
L15H19,attn,15,19,0.0011741256713867188,0.016006642011309836,0.535,0.0006281572341918946,200
L24H05,attn,24,5,0.0010254716873168946,0.006115237657296286,0.61,0.0006255377292633057,200
L14H16,attn,14,16,0.0010694503784179688,0.0071380349624982796,0.57,0.0006095867156982422,200
L25H09,attn,25,9,0.0010910606384277343,0.005230557915939826,0.55,0.000600083351135254,200
L33H02,attn,33,2,0.0009155893325805665,0.0033042274050942874,0.65,0.0005951330661773682,200
L26H17,attn,26,17,0.0010169219970703124,0.004423561475938991,0.585,0.0005948993682861328,200
L12H17,attn,12,17,0.0010898923873901368,0.0075867553481912256,0.545,0.0005939913511276246,200
L19H06,attn,19,6,0.0011402320861816405,0.013039215940730476,0.515,0.0005872195243835449,200
L02H04,attn,2,4,0.0010758399963378905,0.003781903663014898,0.545,0.0005863327980041503,200
L35H19,attn,35,19,0.0009280586242675781,0.0033995702009179856,0.63,0.0005846769332885743,200
L09H06,attn,9,6,0.0009321928024291992,0.0051197887392250285,0.62,0.0005779595375061035,200
L10H04,attn,10,4,0.0010685205459594726,0.004788629258536042,0.54,0.0005770010948181152,200
L29H10,attn,29,10,0.0010682773590087891,0.0064829909407111115,0.54,0.0005768697738647462,200
L06H16,attn,6,16,0.0010771942138671875,0.005706450299693187,0.535,0.0005762989044189454,200
L42H10,attn,42,10,0.0009627294540405273,0.00481793089970716,0.595,0.0005728240251541137,200
L19H21,attn,19,21,0.0010792160034179688,0.007089419926089429,0.53,0.0005719844818115235,200
L21H06,attn,21,6,0.0010169267654418946,0.006355684983775672,0.56,0.000569478988647461,200
L17H14,attn,17,14,0.0010408878326416016,0.009569138024346394,0.545,0.0005672838687896729,200
L23H15,attn,23,15,0.0010526466369628906,0.006681152799588517,0.53,0.0005579027175903321,200
L19H02,attn,19,2,0.000979166030883789,0.010385296766665787,0.56,0.000548332977294922,200
L30H04,attn,30,4,0.0009527254104614258,0.007488076488374918,0.565,0.0005382898569107055,200
L21H15,attn,21,15,0.0009937667846679687,0.006465317717713944,0.54,0.0005366340637207031,200
L32H04,attn,32,4,0.0009642982482910156,0.0051660394712746294,0.555,0.0005351855278015137,200
L03H13,attn,3,13,0.0009108495712280274,0.006001547012943307,0.585,0.0005328469991683959,200
L17H09,attn,17,9,0.0008374643325805664,0.005899728757864929,0.635,0.0005317898511886597,200
L31H24,attn,31,24,0.0009570121765136719,0.006051801122527954,0.545,0.0005215716361999512,200
L30H13,attn,30,13,0.0009330129623413086,0.007178583609396924,0.555,0.0005178221940994263,200
L38H23,attn,38,23,0.0008924150466918945,0.00441240007794529,0.575,0.0005131386518478393,200
L09H24,attn,9,24,0.0009302854537963867,0.004243454935004373,0.545,0.0005070055723190309,200
L23H19,attn,23,19,0.0009186315536499023,0.004368163017918544,0.55,0.0005052473545074463,200
L35H02,attn,35,2,0.0010138702392578124,0.027229809557302673,0.495,0.0005018657684326171,200
L18H20,attn,18,20,0.0009165525436401368,0.008441638818828683,0.545,0.0004995211362838745,200
L47H03,attn,47,3,0.0009696435928344727,0.00793352390803117,0.515,0.0004993664503097535,200
