component,type,layer,head,mean_ie,consistency,score
L21H13,attn,21,13,0.0025574207305908204,0.65,0.0016623234748840334
L14H04,attn,14,4,0.0029337406158447266,0.55,0.0016135573387145998
L31H09,attn,31,9,0.0018812179565429687,0.85,0.0015990352630615233
L39H20,attn,39,20,0.0024498462677001952,0.65,0.001592400074005127
L32H22,attn,32,22,0.002653169631958008,0.6,0.0015919017791748047
L46H20,attn,46,20,0.002892017364501953,0.55,0.0015906095504760744
L20H21,attn,20,21,0.003919744491577148,0.4,0.0015678977966308593
L17H07,attn,17,7,0.002840137481689453,0.55,0.0015620756149291994
L11H16,attn,11,16,0.002401447296142578,0.65,0.0015609407424926759
L37H24,attn,37,24,0.0023831844329833983,0.65,0.0015490698814392089
L33H05,attn,33,5,0.00308685302734375,0.5,0.001543426513671875
L23H01,attn,23,1,0.003858518600463867,0.4,0.001543407440185547
L21H08,attn,21,8,0.002789211273193359,0.55,0.0015340662002563477
L33H17,attn,33,17,0.0025503158569335936,0.6,0.001530189514160156
L11H07,attn,11,7,0.002032041549682617,0.75,0.0015240311622619629
L44H17,attn,44,17,0.0023391246795654297,0.65,0.0015204310417175294
L05H06,attn,5,6,0.002523326873779297,0.6,0.001513996124267578
L18H21,attn,18,21,0.003021860122680664,0.5,0.001510930061340332
L19H19,attn,19,19,0.0030092716217041014,0.5,0.0015046358108520507
L09H07,attn,9,7,0.0030040740966796875,0.5,0.0015020370483398438
L46H05,attn,46,5,0.002119588851928711,0.7,0.0014837121963500977
L25H20,attn,25,20,0.0022678375244140625,0.65,0.0014740943908691407
L14H16,attn,14,16,0.002433586120605469,0.6,0.0014601516723632814
L05H01,attn,5,1,0.002430295944213867,0.6,0.0014581775665283203
L13H10,attn,13,10,0.0029161930084228515,0.5,0.0014580965042114257
L24H20,attn,24,20,0.0036397457122802736,0.4,0.0014558982849121095
L23H19,attn,23,19,0.002418708801269531,0.6,0.0014512252807617186
L27H06,attn,27,6,0.0020371437072753905,0.7,0.0014260005950927732
L00H22,attn,0,22,0.002374601364135742,0.6,0.0014247608184814451
L22H02,attn,22,2,0.002370882034301758,0.6,0.0014225292205810548
L14H17,attn,14,17,0.002344512939453125,0.6,0.001406707763671875
L14H07,attn,14,7,0.0021633148193359376,0.65,0.0014061546325683594
L29H02,attn,29,2,0.0027956008911132813,0.5,0.0013978004455566407
L39H08,attn,39,8,0.0025308609008789064,0.55,0.0013919734954833986
L27H23,attn,27,23,0.0022642135620117186,0.6,0.001358528137207031
L09H04,attn,9,4,0.0020647048950195312,0.65,0.0013420581817626953
L09H11,attn,9,11,0.002056789398193359,0.65,0.0013369131088256836
L32H02,attn,32,2,0.0017771244049072266,0.75,0.00133284330368042
L07H03,attn,7,3,0.002658653259277344,0.5,0.001329326629638672
L26H02,attn,26,2,0.0021845340728759766,0.6,0.001310720443725586
L10H02,attn,10,2,0.002367734909057617,0.55,0.0013022541999816895
L02H00,attn,2,0,0.0016192913055419922,0.8,0.0012954330444335939
L09H16,attn,9,16,0.0019730567932128907,0.65,0.001282486915588379
L09H21,attn,9,21,0.0018259525299072266,0.7,0.0012781667709350585
L11H03,attn,11,3,0.002512359619140625,0.5,0.0012561798095703125
L01H14,attn,1,14,0.0019310951232910157,0.65,0.0012552118301391603
L17H09,attn,17,9,0.0022810935974121095,0.55,0.0012546014785766602
L42H06,attn,42,6,0.001790761947631836,0.7,0.0012535333633422851
L22H18,attn,22,18,0.002084207534790039,0.6,0.0012505245208740232
L04H01,attn,4,1,0.0016625404357910156,0.75,0.0012469053268432616
L23H18,attn,23,18,0.002069902420043945,0.6,0.001241941452026367
L34H24,attn,34,24,0.0024660110473632814,0.5,0.0012330055236816407
L16H02,attn,16,2,0.002221202850341797,0.55,0.0012216615676879884
L02H05,attn,2,5,0.0026732444763183593,0.45,0.0012029600143432617
L15H11,attn,15,11,0.0023964405059814452,0.5,0.0011982202529907226
L33H11,attn,33,11,0.001980447769165039,0.6,0.0011882686614990234
L10H20,attn,10,20,0.001819467544555664,0.65,0.0011826539039611816
L13H16,attn,13,16,0.00157623291015625,0.75,0.0011821746826171874
L04H07,attn,4,7,0.0021463871002197266,0.55,0.0011805129051208497
L33H20,attn,33,20,0.0015655994415283204,0.75,0.0011741995811462404
L22H17,attn,22,17,0.0019452571868896484,0.6,0.001167154312133789
L38H07,attn,38,7,0.001550149917602539,0.75,0.0011626124382019044
L10H09,attn,10,9,0.001775074005126953,0.65,0.0011537981033325196
L11H01,attn,11,1,0.0020836353302001952,0.55,0.0011459994316101074
L37H11,attn,37,11,0.002080488204956055,0.55,0.0011442685127258303
L20H24,attn,20,24,0.0025376796722412108,0.45,0.001141955852508545
L00H17,attn,0,17,0.0017195701599121093,0.65,0.001117720603942871
